lambdas_norm [3.0, 6.0, 9.0] lambda_mult 0.95 musss [[[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]], [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]] alphas [1.0, 0.5, 0.2, 0.1, 0.05, 0.02, 0.01, 0.005, 0.002, 0.001] num_jobs 100000000
seed 0
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.921103958300553;7.609584903651922;7.319294776666146;0.5679401786526365;0.46728397237458147;0.5398099224773019;
0.5;8.596400365025172;8.262701009439517;7.962359937633047;0.5823794615662845;0.4703246536307291;0.5508865987762434;
0.2;10.355739654697809;9.992295451573987;9.68119391412396;0.5998061448808296;0.4743129965662225;0.563842596858823;
0.1;13.311012053024;12.928207057180174;12.61081501394349;0.6113893654779068;0.4777104281678957;0.5722596099342334;
0.05;18.857599421761137;18.46054663163312;18.138466439976703;0.6200108437643566;0.4808775602573942;0.5786166779838321;
0.02;35.8349495077823;35.42678542544525;35.100042233725894;0.627190581947981;0.48366848861774614;0.5843638521115537;
0.01;63.66814656910575;63.25442634806475;62.92756962963271;0.6301498080510808;0.4850179004769048;0.5860182967246151;
0.005;118.38184163981431;117.96752894058868;117.63993664954113;0.6311255576273133;0.48550182888333;0.5869237606196178;
0.002;294.1713707963262;293.75555465492795;293.42767099319764;0.632005645533013;0.4859019520423241;0.5876787055397856;
0.001;592.523615204399;592.1019320790408;591.7731463336764;0.6344772447258873;0.48680667383407533;0.5893728207459453;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.521970885489175;25.028888548253057;24.135027157991875;1.7820869689766379;1.356018164601195;0.9571620672127331;
0.5;37.76583537699482;42.159770499574336;40.89323086955861;2.9157958401149466;2.100484032223238;1.371645279409212;
0.2;82.55029409262596;92.51292680296626;90.12103243919569;6.255306190281698;4.319474238152845;2.5821659316805756;
0.1;156.59785785612766;175.72809148573668;171.50065554309904;11.757183942031956;7.979093202084918;4.586286295826145;
0.05;325.5460640856453;363.19475492900375;355.2619408896085;22.86956790357812;15.38051090122882;8.638307427170762;
0.02;755.0086653458728;847.449687835464;828.5563014367452;55.746051016429504;37.291652486649596;20.650035397151925;
0.01;1487.6438141898527;1672.1804539979105;1634.6478963362879;110.9308919063151;74.19957626436909;40.72510856777689;
0.005;2676.7400116225363;3038.199009203169;2964.7906017107853;216.92058783130153;145.12939115230117;79.40936928806256;
0.002;7702.2537781787905;8637.021177418319;8447.253126869933;560.3406879516368;375.01663550142155;204.5435092475299;
0.001;12923.823034853847;14724.599157720186;14354.854036234923;1077.687958064759;723.6773662965473;391.77657562010705;
seed 1
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.92924451031088;7.617622723213802;7.327137309405596;0.5680079166581018;0.46729775392021455;0.5396876982963936;
0.5;8.552447691468533;8.21865527502169;7.91847126676235;0.5822571197316;0.47006411828068784;0.5507782083167537;
0.2;10.389233221962629;10.025695259035333;9.714498943419155;0.6000362029113769;0.47420492340388526;0.5638948225219851;
0.1;13.15221759027325;12.769882264638241;12.452703120603449;0.6110129236602425;0.47753599304254524;0.572015280934078;
0.05;18.843120405721017;18.446436176651986;18.124327462329816;0.6196156778729537;0.48060525133360377;0.5784115144331149;
0.02;35.4650715961859;35.05622050602577;34.731123619270384;0.6272048071667511;0.48370695468542374;0.5836714771662241;
0.01;62.11120415441899;61.698123741268816;61.372125781530805;0.6295947205443954;0.4847140306839342;0.5854518600659516;
0.005;121.58940878513314;121.17273418436083;120.84391653968484;0.6322438506982447;0.4857904943287517;0.5877441756446313;
0.002;286.84922651216925;286.43489311726717;286.1064590558804;0.6314388117506547;0.48561391509679186;0.5874220822119801;
0.001;574.3250169068575;573.90844230344;573.5791590253133;0.6326267131630692;0.4860356216388752;0.5883921520954132;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;22.43772522222083;24.945174757321755;24.052551491176764;1.7827699190353845;1.3557974804791142;0.9579285484675912;
0.5;37.821528366837384;42.21989726591951;40.952074645855525;2.918332704423733;2.102124823312485;1.372428411580313;
0.2;84.36281741702201;94.34082172779391;91.96068813942145;6.269425255360002;4.3208756572445814;2.5913727788393945;
0.1;157.5061909558358;176.70570113664996;172.47198442245354;11.801218835223048;8.00428863832698;4.603308494364879;
0.05;311.5846738326416;349.2679906101525;341.3712924613075;22.904493257967886;15.3804272136395;8.661541282107436;
0.02;731.4226087756697;823.5047123157827;804.575586661382;55.494628000213126;37.183979067429505;20.519299783288407;
0.01;1744.3101105022981;1932.0785801480754;1894.338103221215;113.01602412855536;75.34630839646222;41.59437343696853;
0.005;3873.2293444406732;4253.673502464275;4178.042054159498;228.8370590441381;152.19886594073546;84.1211421678857;
0.002;7913.6797617807915;8845.861004498543;8661.80385508914;560.5200619267428;372.25084047842205;205.36557751829534;
0.001;18985.18815340833;20846.54080984288;20478.355455192996;1118.5919963081603;743.3497573636581;410.2479529997122;
seed 2
muss [[0.5, 0.5, 1.0], [1.0, 2.5, 2.0], [5.0, 3.0, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
1;7.967242579685813;7.655313525613588;7.365041821395802;0.5681390908547095;0.46752175741788043;0.539754286223366;
0.5;8.60395480834604;8.269616010568166;7.969995768041357;0.5824943515132748;0.47016432934607333;0.5509781349490608;
0.2;10.371683141570916;10.007903619256123;9.697361861098532;0.599991714284405;0.4742157894874547;0.5639336592811354;
0.1;13.217429046330565;12.834993307825988;12.517761686185763;0.6111826763883259;0.4776892386839344;0.5720967783934506;
0.05;18.98310428067302;18.58661622341541;18.264961589896917;0.6195574886790809;0.4808142117200633;0.5784576091576761;
0.02;35.91445701877195;35.505939002054845;35.18086509467521;0.6270211319820161;0.48372222273051146;0.5839847036208575;
0.01;63.46587893597256;63.052664533360314;62.72525234879051;0.6300458418272272;0.48500526742137573;0.5862851023435789;
0.005;121.98525327995789;121.57167267840843;121.24247142561798;0.6310719253077093;0.4855728524484657;0.5875026829053439;
0.002;281.2572627984997;280.8402715087919;280.511179817242;0.6327274149268755;0.4862842993169767;0.5884986650428278;
0.001;565.7658875767221;565.3525877119223;565.0223753293118;0.6316266966498214;0.48573109200844855;0.5881684671491837;
muss [[8.0, 1.0, 1.5], [0.5, 1.0, 0.5], [1.5, 1.5, 2.5]]
alpha;mean;mean;mean;gap;gap;gap
